iteration,reward
1,-35.0
2,-43.5
3,-38.5
4,-47.0
5,-43.0
6,-44.0
7,-49.0
8,-49.0
9,-29.0
10,-28.0
11,-30.5
12,-33.0
13,-30.0
14,-39.5
15,-35.5
16,-9.5
17,-9.0
18,-9.0
19,-10.0
20,-8.5
21,-9.0
22,-12.5
23,-8.0
24,-16.0
25,-8.5
26,-26.5
27,-17.0
28,-16.5
29,-11.5
30,-9.5
31,-19.5
32,-33.0
33,-27.0
34,-18.0
35,-11.0
36,-10.5
37,-16.0
38,-12.5
39,-12.5
40,-11.0
41,-12.5
42,-12.0
43,-11.5
44,-12.5
45,-13.5
46,-11.0
47,-14.0
48,-11.0
49,-11.5
50,-30.0
51,-33.0
52,-39.0
53,-34.5
54,-42.0
55,-41.0
56,-31.5
57,-34.0
58,-33.0
59,-30.5
60,-40.5
61,-20.0
62,-16.0
63,-20.0
64,-16.0
65,-20.5
66,-12.0
67,-12.5
68,-13.5
69,-13.0
70,-12.0
71,-12.5
72,-9.0
73,-8.5
74,-11.0
75,-13.0
76,-16.0
77,-13.5
78,-18.0
79,-10.5
80,-12.5
81,-12.5
82,-16.5
83,-11.0
84,-11.5
85,-12.5
86,-14.5
87,-14.5
88,-12.5
89,-14.0
90,-13.0
91,-13.0
92,-15.5
93,-11.5
94,-14.0
95,-13.0
96,-14.5
97,-17.0
98,-13.5
99,-11.0
100,-16.0
101,-12.0
102,-20.0
103,-20.0
104,-15.5
105,-16.0
106,-16.5
107,-13.5
108,-20.0
109,-15.5
110,-14.5
111,-13.0
112,-9.5
113,-16.5
114,-10.0
115,-15.5
116,-11.5
117,-9.5
118,-11.0
119,-13.0
120,-11.5
121,-11.0
122,-11.5
123,-10.0
124,-9.5
125,-11.0
126,-12.0
127,-13.0
128,-10.0
129,-11.0
130,-11.0
131,-10.0
132,-10.5
133,-11.0
134,-12.5
135,-16.0
136,-11.5
137,-13.0
138,-13.0
139,-11.0
140,-19.0
141,-14.0
142,-31.5
143,-32.0
144,-40.5
145,-28.5
