iteration,reward
1,-60.0
2,-50.75
3,-67.75
4,-72.5
5,-55.5
6,-64.75
7,-68.5
8,-40.5
9,-71.25
10,-70.5
11,-40.75
12,-59.5
13,-76.75
14,-64.5
15,-47.75
16,-51.5
17,-83.75
18,-58.0
19,-57.0
20,-37.5
21,-92.25
22,-59.5
23,-87.0
24,-83.75
25,-91.25
26,-59.75
27,-80.25
28,-75.5
29,-52.0
30,-54.5
31,-69.75
32,-75.5
33,-41.75
34,-39.0
35,-69.5
36,-84.75
37,-67.0
38,-75.5
39,-83.5
40,-82.25
41,-60.0
42,-54.5
43,-55.5
44,-69.25
45,-57.0
46,-65.0
47,-49.75
48,-59.75
49,-74.25
50,-64.75
51,-64.5
52,-40.25
53,-67.25
54,-82.5
55,-83.75
56,-78.75
57,-60.25
58,-55.0
59,-79.5
60,-80.75
61,-77.25
62,-56.5
63,-57.25
64,-69.75
65,-75.5
66,-75.5
67,-63.5
68,-75.5
69,-77.0
70,-75.5
71,-88.25
72,-75.5
73,-100.0
74,-61.25
75,-77.0
76,-82.5
77,-66.0
78,-79.5
79,-58.75
80,-56.0
81,-87.25
82,-54.25
83,-64.5
84,-100.0
85,-75.5
86,-35.5
87,-61.5
88,-88.5
89,-75.5
90,-78.0
91,-75.5
92,-40.25
93,-44.0
94,-52.0
95,-37.75
96,-64.75
97,-49.75
98,-59.25
99,-38.5
100,-53.0
101,-80.25
102,-64.25
103,-75.75
104,-76.0
105,-61.5
106,-63.25
107,-76.75
108,-80.0
109,-56.5
110,-76.25
111,-80.75
112,-56.0
113,-75.75
114,-82.75
115,-75.5
116,-55.0
117,-34.5
118,-74.5
119,-62.0
120,-66.75
121,-51.0
122,-47.5
123,-55.25
124,-84.0
125,-90.5
126,-93.75
127,-100.0
128,-63.5
129,-75.5
130,-75.5
131,-86.25
132,-100.0
133,-51.75
134,-43.5
135,-50.25
136,-51.75
137,-100.0
138,-63.25
139,-56.75
140,-61.75
141,-75.5
142,-81.0
143,-46.0
144,-56.0
145,-75.5
146,-75.5
147,-77.5
148,-60.75
149,-81.0
150,-53.25
151,-77.5
152,-92.0
153,-75.5
154,-100.0
155,-99.75
156,-33.5
157,-77.75
158,-79.5
159,-52.5
160,-53.5
161,-76.5
162,-56.75
163,-75.5
164,-75.5
165,-75.75
166,-83.25
167,-77.5
168,-83.75
169,-75.5
170,-80.75
171,-75.5
172,-77.5
173,-75.5
174,-76.5
175,-75.5
176,-78.25
177,-76.5
178,-84.0
179,-82.25
180,-58.75
181,-75.5
182,-74.5
183,-68.25
184,-75.25
185,-82.75
186,-61.25
187,-60.5
188,-62.75
189,-63.75
190,-64.25
191,-44.25
192,-59.5
193,-61.25
194,-69.0
195,-54.0
196,-61.75
197,-58.0
198,-76.5
199,-76.25
200,-55.5
201,-75.5
202,-56.0
203,-42.0
204,-74.25
205,-48.75
206,-36.0
207,-54.0
208,-76.5
209,-49.5
210,-53.25
211,-55.25
212,-62.25
213,-93.25
214,-66.5
215,-65.75
216,-79.5
217,-75.5
218,-79.5
219,-77.0
220,-87.0
221,-72.0
222,-75.5
223,-77.0
224,-87.25
225,-51.25
226,-79.0
227,-77.25
228,-78.5
229,-77.0
230,-69.5
231,-58.5
232,-53.75
233,-57.25
234,-59.5
235,-52.5
236,-75.5
237,-76.5
238,-84.5
239,-61.75
240,-58.75
241,-59.25
242,-70.75
243,-55.75
244,-75.5
245,-75.5
246,-75.5
247,-52.25
248,-80.75
249,-64.25
250,-60.0
251,-76.0
252,-67.5
253,-52.5
254,-53.75
255,-55.5
256,-66.75
257,-72.75
258,-76.25
259,-88.75
260,-59.0
261,-76.25
262,-76.5
263,-82.5
264,-48.25
265,-73.5
266,-51.0
267,-79.75
268,-75.5
269,-75.5
270,-54.25
271,-50.25
272,-42.5
273,-48.25
274,-47.0
275,-34.0
276,-42.5
277,-70.75
278,-53.25
279,-29.5
280,-38.75
281,-48.0
282,-60.25
283,-63.5
284,-52.75
285,-67.25
286,-61.0
287,-58.75
288,-73.75
289,-49.75
290,-64.0
291,-52.25
292,-53.75
293,-42.25
294,-59.75
295,-69.0
296,-71.0
297,-66.25
298,-78.25
299,-65.25
300,-54.0
301,-77.75
302,-53.75
303,-86.5
304,-57.25
305,-43.5
306,-58.5
307,-67.75
308,-71.75
309,-68.75
310,-69.5
311,-60.5
312,-67.5
313,-49.25
314,-54.0
315,-64.25
316,-75.5
317,-62.5
318,-90.75
319,-71.75
320,-55.25
321,-59.0
322,-38.5
323,-39.0
324,-49.25
325,-36.5
326,-38.25
327,-81.0
328,-84.0
329,-71.25
330,-67.5
331,-75.25
332,-69.75
333,-78.5
334,-33.25
335,-75.75
336,-82.5
337,-39.0
338,-69.75
339,-61.0
340,-77.5
341,-76.5
342,-59.25
343,-75.5
344,-56.0
345,-55.75
346,-59.5
347,-57.5
348,-61.5
349,-46.25
350,-61.0
351,-71.25
352,-75.5
353,-75.5
354,-75.5
355,-57.25
356,-76.0
357,-73.5
358,-68.5
359,-56.5
360,-65.25
361,-68.25
362,-48.0
363,-56.5
364,-70.25
365,-62.25
366,-56.5
367,-53.0
368,-47.0
369,-78.75
370,-44.5
371,-55.25
372,-66.25
373,-61.5
374,-45.5
375,-36.5
376,-59.0
377,-51.25
378,-58.0
379,-42.5
380,-42.5
381,-52.0
382,-56.0
383,-47.5
384,-46.5
385,-62.5
386,-75.5
387,-54.5
