iteration,reward
1,-27.5
2,-14.5
3,-7.5
4,-6.5
5,-3.5
6,-15.0
7,-7.5
8,-7.5
9,-4.5
10,-1.0
11,-2.5
12,-2.0
13,-2.0
14,-2.0
15,-2.0
16,-2.0
17,-2.0
18,-3.0
19,-3.0
20,-2.5
21,-2.5
22,-2.0
23,-2.0
24,-2.0
25,-2.0
26,-2.0
27,-2.0
28,-2.5
29,-2.0
30,-3.0
31,-3.5
32,-2.0
33,-2.0
34,-3.5
35,-2.0
36,-3.0
37,-2.5
38,-3.0
39,-3.0
40,-3.0
41,-2.5
42,-4.5
43,-3.0
44,-3.0
45,-2.0
46,-3.0
47,-3.0
48,-2.0
49,-4.0
50,-2.0
51,-2.0
52,-3.0
53,-2.0
54,-3.0
55,-2.0
56,-3.0
57,-2.0
58,-3.5
59,-3.5
60,-2.0
61,-3.0
62,-2.0
63,-3.5
64,-2.5
65,-2.0
66,-2.5
67,-2.0
68,-2.0
69,-3.0
70,-3.0
71,-4.0
72,-3.0
73,-2.5
74,-2.0
75,-2.0
76,-3.5
77,-2.0
78,-3.5
79,-3.0
80,-2.5
81,-2.0
82,-2.0
83,-2.0
84,-2.0
85,-2.5
86,-2.0
87,-2.5
88,-1.0
89,-2.5
90,-2.0
91,-2.5
92,-2.5
93,-2.0
94,-3.0
95,-4.0
96,-3.0
97,-2.5
98,-2.5
99,-3.0
100,-3.0
101,-2.0
102,-3.0
103,-3.5
104,-2.0
105,-3.0
106,-3.5
107,-2.5
108,-3.0
109,-2.5
110,-2.0
111,-2.5
112,-2.0
113,-3.0
114,-4.5
115,-4.0
116,-2.0
117,-2.0
118,-3.5
119,-3.5
120,-2.0
121,-2.5
122,-2.0
123,-2.5
124,-3.0
125,-3.0
126,-3.5
127,-2.0
128,-3.0
129,-3.5
130,-7.5
131,-2.5
132,-2.0
133,-2.0
134,-3.0
135,-2.0
136,-2.0
137,-2.0
138,-2.0
139,-2.0
140,-2.0
141,-2.0
142,-2.0
143,-2.5
144,-2.0
145,-2.0
146,-2.0
147,-2.0
148,-2.0
149,-4.0
150,-3.5
151,-2.5
152,-2.0
153,-2.0
154,-3.5
155,-3.5
156,-2.5
157,-2.0
158,-2.0
159,-3.0
160,-3.0
161,-3.5
162,-2.5
163,-2.5
164,-2.0
165,-3.0
166,-3.5
167,-2.0
168,-2.0
169,-3.0
170,-3.5
171,-2.0
172,-3.0
173,-3.0
174,-2.5
175,-2.5
176,-2.0
177,-3.0
178,-3.5
179,-2.5
180,-2.0
181,-2.0
182,-4.0
183,-3.5
184,-4.0
185,-2.0
186,-2.0
187,-3.0
188,-3.0
189,-2.0
190,-3.0
191,-3.0
192,-3.0
193,-3.5
194,-2.5
195,-2.5
196,-2.0
197,-2.0
198,-2.0
199,-2.0
200,-2.0
201,-2.0
202,-2.0
203,-2.0
204,-2.0
205,-2.0
206,-2.0
207,-2.0
208,-2.0
209,-2.0
210,-2.0
211,-2.0
212,-3.0
213,-3.5
214,-4.5
215,-2.5
216,-2.5
217,-2.0
218,-2.0
219,-3.0
220,-3.0
221,-3.5
222,-3.0
223,-3.0
224,-3.0
225,-3.0
226,-2.5
227,-2.0
228,-2.0
229,-3.5
230,-3.0
231,-2.5
232,-2.5
233,-3.5
234,-2.5
235,-2.5
236,-2.5
237,-2.0
238,-2.0
239,-3.0
240,-2.0
241,-2.0
242,-2.0
243,-2.0
244,-2.0
245,-3.5
246,-4.0
247,-3.5
248,-2.0
249,-2.5
250,-2.0
251,-3.0
252,-2.0
253,-2.0
254,-2.0
255,-2.0
256,-2.0
257,-2.0
258,-3.0
259,-2.0
260,-4.0
261,-2.5
262,-2.5
263,-2.5
264,-3.5
265,-2.5
266,-2.0
267,-2.0
268,-2.0
269,-2.0
270,-2.0
271,-2.0
272,-2.0
273,-2.0
274,-2.0
275,-2.0
276,-2.0
277,-2.0
278,-3.0
279,-2.5
280,-2.0
281,-2.0
282,-2.0
283,-2.0
284,-4.0
285,-3.5
286,-2.0
287,-3.0
288,-2.0
289,-2.0
290,-2.0
291,-2.0
292,-2.0
293,-3.0
294,-3.5
295,-2.5
296,-3.5
297,-5.5
298,-3.0
299,-4.0
300,-2.5
301,-2.5
302,-2.0
303,-2.0
304,-3.5
305,-4.0
306,-4.0
307,-5.0
308,-3.0
309,-4.0
310,-3.0
311,-3.0
312,-3.5
313,-2.5
314,-2.5
315,-3.0
316,-2.0
317,-2.5
318,-2.0
319,-2.0
320,-3.5
321,-3.5
322,-2.5
323,-2.0
324,-2.0
325,-3.0
326,-3.0
327,-2.0
328,-2.0
329,-2.0
330,-2.0
331,-2.0
332,-2.0
333,-3.0
334,-2.5
335,-2.0
336,-2.0
337,-2.5
338,-2.5
339,-3.0
340,-2.5
341,-2.0
342,-2.0
343,-2.0
344,-4.5
345,-2.5
346,-2.5
347,-2.5
348,-3.5
349,-2.5
350,-3.0
351,-3.0
352,-2.5
353,-2.5
354,-2.0
355,-2.0
356,-3.0
357,-2.0
358,-3.5
359,-2.0
360,-2.5
361,-2.0
362,-2.0
363,-2.0
364,-2.0
365,-2.0
366,-2.0
367,-2.5
368,-2.0
369,-2.5
370,-2.0
371,-2.0
372,-2.0
373,-3.0
374,-2.0
375,-2.0
376,-2.5
377,-2.0
378,-2.0
379,-2.0
380,-2.0
381,-2.0
382,-2.0
383,-2.0
384,-2.0
385,-2.0
386,-2.0
387,-3.0
388,-4.5
389,-4.5
390,-4.5
391,-2.5
392,-2.0
393,-2.5
394,-2.0
395,-3.0
396,-2.5
397,-3.0
398,-2.5
399,-2.5
400,-2.5
401,-2.5
402,-3.5
403,-3.0
404,-3.5
405,-5.5
406,-3.5
407,-3.5
408,-3.0
409,-3.5
410,-2.0
411,-2.0
412,-4.0
